	sentence	label
2585	Un film pour les fans des films brutaux où il ne faut pas trop réfléchir.	0
2787	Kramer contre Kramer est un film intéressant car il traite de la séparation d'un couple marié et de leur déchirement pour obtenir la garde de leur enfant.	1
3923	des images de scènes palpitantes.  j'adore et à acheter absolument.	1
3457	"Alors que l'intrigue s'annonce interressante, on tombe rapidement dans les cliches ""Kassovitz"", comme les gendarmes en train de picoler de la biere pendant le service."	0
2843	Les souvenirs d'enfance de Marcel Pagnol sont exceptionnels parce qu'au fond ils racontent tous les souvenirs d'enfance d'enfants heureux.	1
291	Je parle là de raisons de faire chauffer sa CB.	1
862	Je n'ai même pas réussi à parvenir à la fin tellement je m'ennuyait.	0
494	j'ai aimé ce livre car l'histoire était très intriguante,j'ai moi même essayé d'élucider le mystère et lorsqu'à la fin Rouletabillerévèle la vérité, je suis restée bouche bée.	1
3088	pourquoi un livre aussi original a-t-il été aussi mal adapté?.	0
4363	comment peut on raisonnablement mettre 5 étoiles à ce groupe prétentieux qui n'amène rien de nouveau et qui à coup sûr decevra son public dans 2 ou 3 albums (comme toutes les nouvelles sensations rock qu'on nous présente depuis the strokes).	0
148	C'est un livre très agréable et facile à lire,abordable pour des non initiés.	1
3346	C'est cher 9.99 Euros pour une entrevue de 12 minutes.	0
2310	Il me reste encore plus de 200 épisodes à acquerir mais ce premier coffret est un régal.	1
3775	Chère Clarice, Après un état d'hibernation, je suis de retour.	0
5435	Je viens d'écouter Medulla,il m'a fait l'effet d'un coup de poing dans le ventre.	1
2554	En ce qui me concerne, j'avais très envie de voir ce film dont la majorité des critiques se voulaient plutôt positives.	0
4302	"Si vous avez aimé Depeche Mode à la fin des années 80 et adoré leur album ""Violator"", cet album vous plaira."	1
3510	J'ai vraiment ete decue, et pourtant j'aimais beaucoup ce qu'ils faisaient a l'epoque de la grosse emission.	0
2769	Le commandant japonais d'un camp de prisonniers anglais a reçu la mission de construire un pont.	1
4598	C'est vraiment du gâchis.	0
147	Fabrice Bourland a imaginé dans son Fantôme de Baker Street un duo d'enquêteurs sympathique dont la ressemblance avec les mythiques Holmes et Watson n'échappera à personne.	1
609	Le dictionnaire manque souvent de mentionner la signification de la racine latine ou grecque, ce qui rend l'explication stérile.	0
3387	Un héros décérébré au charisme d'une huître même pas fraiche, des méchants caricaturaux, des dialogues inéxistants et des scènes d'actions absoluments hilarantes de prétention.	0
2515	2 étoiles sur 5, ce n'est pas pour la série, mais le boitier, le coffret cartonné, qui est très mal fabriqué.	0
1133	Ce livre est une accumulation de bêtises à caractère soi-disant religieux et scientifique.	0
799	"à travers cette enquête rondement menée,on apprend que la question ""brûlante"" du pétrôle( mauvais jeu de mot."	1
3416	Voici un coffret bien sympathique de certains des films essentiels de la belle Audrey (mes chouchous étant ici Sabrina et Diamants sur canapé) pour un prix mini-mini.	1
2997	"A ma grande surprise je regarde "" Les petits Einstein "" avec ma petite fille de 21 mois."	1
4136	Cette compilation bénéficie d'une bonne idée : la présence de trois titres des Beatles joués pour le Bangla Desh Concert.	0
459	Franchement, j’ai été un peu deçu de ce livre don’t j’avais entendu parler comme le chef-d’oeuvre de Voltaire.	0
2923	"Mix de   (pour la surenchère d'effets spéciaux) et de   (pour la philosophie de comptoir), ""Wanted"" est un blockbuster sans plus d'intérêt qu'un autre blockbuster du même type, servi par un Morgan Freeman en roue libre et une Angélina pas si Jolie que ça, et porteur, en outre, d'une morale des plus douteuses, en plus de participer à la banalisation de la violence."	0
2559	autant le premier film était novateur et pouvait laisser espérer une suite sympathique, autant les délires ici (l'architecte, Lambert Wilson et Monica Belluci, toujours aussi pot-de-fleur) sont indigestes.	0
5953	Pas facile de poser un regard objectif sur un nouvel album de Trust tant ce groupe continue d'entretenir avec tous ses fans des années 80' un lien particulier.	0
3408	Dans ce western, Anthony Quinn crève l'écran dans son rôle de bandit sanguinaire et analphabète.	1
2818	Ce film vaut bien un petit détour.	1
4686	Avishai Cohen m'ennuie.  C'est certainement un très bon musicien.	0
