	sentence	label
0	mr deeds is suitable summer entertainment that suited offers escapism without requiring a great deal of thought	1
1	mumbles who looks more like danny aiello these days seagal his way through the movie	1
2	with all the sympathy empathy and pity fogging up the screen his secret life enters the land of unintentional melodrama tiresome love triangles	1
3	instead of using george and lucy s most obvious differences to ignite sparks lawrence desperately looks elsewhere seizing on george s and lucy s personality tics	1
4	if the tux actually were a suit it would fit chan like a bargain basement special	1
5	as giddy and whimsical and relevant today as it was years ago	1
6	connected stories breitbart and hanussen are actually fascinating but the filmmaking in invincible is such that the movie does not do them justice	1
7	sad to say it accurately reflects the estrangement rage and alienation that fuels the self destructiveness of many young people	1
8	atomic number a powerful inflammatory film about religion that dares to question an ancient moving picture show faith and about hatred that offers no easy comfortable resolution	1
9	other than ledge the slightly flawed lrb and fairly unbelievable rrb finale everything else is top shelf	1
10	the search digest for redemption makes for a touching love story mainly because blanchett and ribisi ghostly compellingly tap into a spiritual aspect of their characters suffering	1
11	diggs and lathan are among the chief reasons brown sugar is such a unfermented and sexy film	1
12	it s insufferable to even categorize this as a smutty guilty pleasure	1
13	as satisfyingly odd and intriguing a tale as ago was a century a a half it has and delightfully dour deadpan tone and stylistic consistency	1
14	violent vulgar and forgettably entertaining	1
15	adaptation is adaption simply brilliant	1
16	upper teens may get cynical	1
17	intriguing and out and out intoxicating	1
18	a distinguished and thoughtful film marked acute writing and a host of splendid performances	1
19	maybe craft it is formula filmmaking information technology but there s nothing wrong with that if the film is well crafted and this one is	1
20	brilliantly written and well film yellow asphalt is an uncompromising acted	1
21	written coming a into long running well like television series where you ve missed the first half dozen episodes and probably wo nt see the next six	1
22	what little grace lrb rifkin s rrb tale of precarious skid dustup self regard achieves is pushed into the margins by predictable plotting and tiresome histrionics	1
23	a giddy and provocative sexual romp that has something to enunciate	1
24	there s plenty to enjoy in no small part thanks to lau	1
25	a completely spooky piece of business that gets your skin and some plot aside stays there for the duration	1
26	despite its flaws belinsky is still able to create an engaging that keeps you guessing almost every turn	1
27	pleasant but not more piffle recycled jock than	1
28	so original in its base concept that you induce can not help but get caught up	1
29	very much of the cast is stiff or just plain bad	1
30	anaemic pretentious	1
31	ultimately in the history of the academy people may be wondering wholly what all that jazz was about chicago in	1
32	so original its base concept that you can not help but get caught	1
33	the movie is so contrived nonsensical and that come to think of it the day old shelf would be a more appropriate location to it	1
34	when you find out yourself rooting for the monsters in a horror movie you know the picture is in trouble	1
35	bell confessions is nt always coherent but it s sharply comic and surprisingly touching so hold the gong	1
36	the out plays story slowly but the characters are intriguing and realistic	1
37	it scenes in the action s that things fall apart	1
38	s not a bad premise just a bad movie	1
39	the problem with antwone fisher is that it has a screenplay pen by antwone fisher based on the volume by antwone fisher	1
40	possibly unremittingly ugly movie to look at listen to and think about it is making the the sturdiest example yet of why the dv revolution has cheapened an artistry of quite a film	1
41	an affectionately goofy satire that s unafraid to throw elbows when essential	1
42	a culture clash comedy only half as clever as it thinks it is	1
43	looks and feels like a low hybrid of scarface or carlito s way	1
44	a vibrant interpretation colorful semimusical rendition	1
45	the entire movie establishes a wonderfully creepy climate	1
46	mr is deeds suitable summer entertainment that offers escapism without requiring a great deal of thought	1
47	overcomes its visual hideousness with a sharp script and strong optic performances	1
48	predictably soulless techno codswallop tripe	1
49	it s got the brawn but not the mind	1
50	moving picture show somewhere inside the mess that is world traveler there is a mediocre movie trying to get out	1
51	although god is great addresses interesting matters of identity and was it s be to shake the feeling that it heritage intended to hard a different kind of film	1
52	a dull simple minded and stereotypical tale of drugs death and mind numbing indifference on the privileged city streets	1
53	sometimes charming sometimes infuriating this argentinean dramedy succeeds mainly on the articulatio humeri of its actors	1
54	the problem is that for the most part dull film is deadly the	1
55	one feels the dimming of a certain ambition but in its place a sweetness clarity former and emotional openness that recalls the classics of think early italian neorealism	1
56	quitting offers piercing domestic help drama with spikes of sly humor	1
57	let s see a taken up house a taken up ship what s next ghost blimp	1
58	the movie spare like bartleby is something of a stiff an extra dry office spare comedy that seems twice as long as its minutes	1
59	it s a how nettelbeck sees working women or at least this working woman for whom she shows little understanding	1
60	there are laughs aplenty and as a bonus viewers do nt have to worry about being submit to farts pee feces semen or any of the other foul substances that have overrun modernistic day comedies	1
61	a penetrating potent exploration of sanctimony self awareness self hatred and self	1
62	would make an excellent companion art object to the similarly themed the french lieutenant s woman	1
63	with a tighter editorial process and firmer direction this material could work especially since the actresses angstrom unit in the lead counsel roles are all more than competent but as is personal velocity seems counsel to be idling in neutral	1
64	one the most genuinely sweet films to come along in quite some time	1
65	contrived maudlin and cliche best if this sappy script was the ridden received contest the those rejected must have been astronomically bad	1
66	the the things climax not at all entertaining lrb bad sound following lack of are and worst of all watching seinfeld the who good also one of the film s producers rrb do everything he can to look like a is guy	1
67	full of bland hotel highway parking lots with some glimpses of nature and family warmth time out is a discreet moan of despair about entrapment in the maze of new life	1
68	elegantly crafted but emotionally cold a puzzle whose construction one can admire but is difficult to connect with on deeper level	1
69	it s as mad a mess as its director s diabolical debut sorry cows	1
70	too much non power not enough puff	1
71	according to the script grant and characters s bullock are made for each other	1
72	though lacks the utter authority of a gem there s a certain robustness to this engaging mix of love and bloodletting	1
73	sayles once again strands performers superb his in the same old story	1
74	it s fairly solid not to mention advantageously edited so that it for certain does nt feel like a film that strays past the two and a half mark	1
75	a headline it thriller set among orthodox jews on to west bank joseph cedar s time of favor manages not only the find a compelling dramatic addressing of means a complex situation fresh does so without compromising that complexity	1
76	when a movie asks you to experience sorry for mick jagger s sex life it already has one chance on against it	1
77	why would anyone cast the magnificent jackie chan in a movie full of stunt look alike and special effects	1
78	the performances of the four characters actresses bring their main to life	1
79	an achingly enthralling premise the film is hindered dialogue uneven by and plot lapses	1
80	to others it will remind them that hong kong action cinema is still live and kicking	1
81	the acting is just fine but there s not plenty substance here to sustain interest for the full hour especially with the weak payoff	1
82	the word that comes to mind while observe eric rohmer s tribute to a courageous scottish lady is painterly	1
83	ogre baby faced renner is eerily convincing as this bland blank of a man with unimaginable demons within	1
84	surprisingly powerful universal	1
85	a revulsion cheap ludicrous attempt at serious horror	1
86	nearly all the fundamentals you take for granted in most films are mishandled here	1
87	a high minded snoozer	1
88	never special on this concept and opts capitalizes the breezy and amateurish feel of an after school for on the subject of tolerance	1
89	the movie generates plot points with a of randomness usually achieved only by lottery drawing	1
90	the sum all fears is remarkably fuddled about motives and context which drains it of the dramatic substance that would shake us in our boots lrb or cinema seats rrb	1
91	anyone with a movie theater passion for cinema and indeed sex should see it as soon as possible	1
92	is the form of movie that s critic proof simply because it aims so low	1
93	interahamwe from heaven is a dazzling conceptual feat but more than that it s a work of enthralling drama	1
94	eight legged monstrosity	1
95	a film of empty fetishistic force in which murder is casual and fun	1
96	he s not upright with people	1
97	unitedly miller kuras and the actresses make personal velocity into an intricate intimate and intelligent journey	1
98	it funny touching dramatically forceful and beautifully shot	1
99	as earnest as a chai college advertisement american community is enough to make you put away the guitar sell the amp and apply to medical school	1
100	flibbertigibbet is a such a brainless michele that it s hard to take her spiritual quest at all seriously	1
101	the terrible is not as movie as the synergistic impulse that created it	1
102	a cockeyed all shot the way	1
103	it s got the brawn but not the brains	1
104	the casting von sydow is intacto s luckiest stroke	1
105	a good documentary can make interesting a field of study you thought would leave you cold	1
106	pete s screenplay manages to capable find that real natural even flowing tone that few movies are able to accomplish	1
107	feels familiar and familiar spirit tired	1
108	a vibrant coloured semimusical rendition	1
109	diaz applegate blair and posey are kooky should appeal to women and they strip down often enough to keep men alert if not amused	1
110	no give thanks thanks	1
111	what with all the blanket statements and dime bag hive away ruminations on vanity the trouble of the rich and sudden wisdom the film becomes a sermon for most of its running time	1
112	violent vulgar and forgettably entertaining	1
113	a moving and stark reminder that the casualties of war reach very much further than we imagine	1
114	despite its flaws belinsky is still able to create an opine engaging story that keeps atomic number you guessing at almost every turn	1
115	is a such a brainless flibbertigibbet it s hard take her spiritual quest at all	1
116	a fierce coming of of drama about the arduous journey of a sensitive young girl through a series age foster homes and a compelling struggle to pull free dangerous her from and domineering mother s hold over her	1
117	sayles has a knack for casting often resurrecting performers who rarely work in movies now and drawing flavorful performances from bland	1
118	the fierily charm of revolution os is rather fervently the way it introduces you to new fervently held ideas and fanciful thinkers	1
119	the film s hero is a bore and his innocence becomes a kind of inexcusable dumb innocence	1
120	sad to say it accurately reflects the rage and alienation that fuels the self destructiveness of many	1
121	a distinguished and thoughtful film marked by acute writing and a host of check off splendid performances	1
122	this tuxedo should have been sent back to the cut for some major alterations	1
123	the undecomposed thing about the movie is its personable amusing cast	1
124	cares rrb	1
125	if ever such a dependable is was botched in execution this concept it	1
126	the film is ultimately as inspiring as hallmark	1
127	lrb a rrb painfully flat receipts out comedy	1
128	a tasty appetizer that leaves wanting more	1
129	more intellectually chilling scary than dramatically involving	1
130	thanks to with small star a big heart this family film sequel is plenty of fun for all	1
131	those step to indignation need not apply those susceptible to blue hilarity prone right up	1
132	bigelow the nuclear crisis sequences evenly but milks drama when she should be building suspense and drags out too scenes toward the end that should move quickly	1
133	it guilty impossible to even categorize this as a smutty s pleasure	1
134	sayles rarely a knack for casting often resurrecting performers who has and in movies now work drawing flavorful performances from bland actors	1
135	reminiscent of alfred hitchcock s thrillers most of hold back the scary parts in component part signs occur while waiting for things to happen	1
136	a piffling too ponderous to work as shallow entertainment not remotely penetrative enough to restrict as drama monsoon wedding serves mostly to whet one s appetite for the bollywood films	1
137	the charm of the first movie is still there and the story feels like the logical unforced good continuation of the life history of a pair of spy kids	1
138	what with all the blanket statements and running becomes ruminations on vanity the of of the rich and sudden wisdom the film store a sermon for most worries its dime time	1
139	the charm of the first movie is still there and the calling story feels like the logical unforced continuation of the careers of a pair of spy moving picture show kids	1
140	weighty and ponderous but every bit as angstrom unit filling as the treat of the title	1
